Rank,Full Journal Title,Abbreviated Title,ISSN,Total Cites,Journal Impact Factor
123,Endocrine Reviews,Endocrine Reviews, 0163769X,307,7.922
124,Journal of Thoracic Oncology,Journal of Thoracic Oncology,15561380,178,7.879
124,Journal of Thoracic Oncology,Journal of Thoracic Oncology, 15560864,178,7.879
125,Nature Reviews Neuroscience,Nature Reviews Neuroscience,14710048,474,7.860
125,Nature Reviews Neuroscience,Nature Reviews Neuroscience, 1471003X,474,7.860
126,JAMA Oncology,JAMA Oncology,23742445,173,7.843
126,JAMA Oncology,JAMA Oncology, 23742437,173,7.843
127,Nature Reviews Physics,Nature Reviews Physics,25225820,70,7.833
128,Lancet Psychiatry.The,Lancet Psychiatry.The,22150374,145,7.827
128,Lancet Psychiatry.The,Lancet Psychiatry.The, 22150366,145,7.827
129,Strategic Management Journal,Strategic Management Journal,10970266,333,7.820
129,Strategic Management Journal,Strategic Management Journal, 01432095,333,7.820
130,Progress in Materials Science,Progress in Materials Science,18732208,235,7.796
130,Progress in Materials Science,Progress in Materials Science, 00796425,235,7.796
131,Review of Finance,Review of Finance,1573692X,77,7.769
131,Review of Finance,Review of Finance, 15723097,77,7.769
132,ACM Transactions on Graphics,ACM Transactions on Graphics,15577368,251,7.766
132,ACM Transactions on Graphics,ACM Transactions on Graphics, 07300301,251,7.766
133,Cell Host and Microbe,Cell Host and Microbe,19346069,241,7.760
133,Cell Host and Microbe,Cell Host and Microbe, 19313128,241,7.760
134,Neuron,Neuron,10974199,530,7.728
134,Neuron,Neuron, 08966273,530,7.728
135,Nature Climate Change,Nature Climate Change,17586798,267,7.724
135,Nature Climate Change,Nature Climate Change, 1758678X,267,7.724
136,Annual Review of Organizational Psychology and Organizational Behavior,Annual Review of Organizational Psychology and Organizational Behavior,23270608,75,7.706
137,Annual Review of Plant Biology,Annual Review of Plant Biology,15452123,298,7.555
137,Annual Review of Plant Biology,Annual Review of Plant Biology, 15435008,298,7.555
138,Review of Economics and Statistics,Review of Economics and Statistics,00346535,200,7.553
138,Review of Economics and Statistics,Review of Economics and Statistics, 15309142,200,7.553
139,Journal of Management,Journal of Management,01492063,280,7.539
139,Journal of Management,Journal of Management, 15571211,280,7.539
140,Cancer Discovery,Cancer Discovery,21598274,229,7.533
140,Cancer Discovery,Cancer Discovery, 21598290,229,7.533
141,Journal of Hematology and Oncology,Journal of Hematology and Oncology,17568722,144,7.522
142,Journal of Economic Perspectives,Journal of Economic Perspectives,8953309,224,7.496
143,Living Reviews in Solar Physics,Living Reviews in Solar Physics,16144961,68,7.472
143,Living Reviews in Solar Physics,Living Reviews in Solar Physics, 23673648,68,7.472
144,Nature Protocols,Nature Protocols,17542189,303,7.419
145,Annual Review of Genetics,Annual Review of Genetics,15452948,200,7.366
145,Annual Review of Genetics,Annual Review of Genetics, 00664197,200,7.366
146,Nature Sustainability,Nature Sustainability,23989629,115,7.366
147,Gastroenterology,Gastroenterology,15280012,466,7.362
147,Gastroenterology,Gastroenterology, 00165085,466,7.362
148,Annual Review of Clinical Psychology,Annual Review of Clinical Psychology,15485951,145,7.348
148,Annual Review of Clinical Psychology,Annual Review of Clinical Psychology, 15485943,145,7.348
149,Lancet Digital Health. The,Lancet Digital Health. The,25897500,66,7.277
150,Nature Reviews Endocrinology,Nature Reviews Endocrinology,17595037,203,7.274
150,Nature Reviews Endocrinology,Nature Reviews Endocrinology, 17595029,203,7.274
151,The Innovation,The Innovation,26666758,41,7.268
152,ACS Energy Letters,ACS Energy Letters,23808195,195,7.202
153,Genome Biology,Genome Biology,14747596,301,7.197
154,Journal of the Academy of Marketing Science,Journal of the Academy of Marketing Science,00920703,207,7.194
154,Journal of the Academy of Marketing Science,Journal of the Academy of Marketing Science, 15527824,207,7.194
155,Nature Metabolism,Nature Metabolism,25225812,75,7.192
156,Annals of Mathematics,Annals of Mathematics,0003486X,137,7.154
157,Nature Structural and Molecular Biology,Nature Structural and Molecular Biology,15459993,303,7.151
157,Nature Structural and Molecular Biology,Nature Structural and Molecular Biology, 15459985,303,7.151
158,Publications Mathematiques de l'Institut des Hautes Etudes Scientifiques,Publications Mathematiques de l'Institut des Hautes Etudes Scientifiques,16181913,49,7.086
158,Publications Mathematiques de l'Institut des Hautes Etudes Scientifiques,Publications Mathematiques de l'Institut des Hautes Etudes Scientifiques, 00738301,49,7.086
159,Nucleic Acids Research,Nucleic Acids Research,03051048,637,7.048
159,Nucleic Acids Research,Nucleic Acids Research, 13624962,637,7.048
160,Nature Chemistry,Nature Chemistry,17554330,291,6.940
160,Nature Chemistry,Nature Chemistry, 17554349,291,6.940
161,European Urology,European Urology,18737560,261,6.928
161,European Urology,European Urology, 03022838,261,6.928
162,Annual Review of Physiology,Annual Review of Physiology,00664278,237,6.870
162,Annual Review of Physiology,Annual Review of Physiology, 15451585,237,6.870
163,Journal of Experimental Medicine,Journal of Experimental Medicine,00221007,490,6.838
163,Journal of Experimental Medicine,Journal of Experimental Medicine, 15409538,490,6.838
164,Materials Science and Engineering: R: Reports,Materials Science and Engineering: R: Reports,0927796X,172,6.822
165,Electrochemical Energy Reviews,Electrochemical Energy Reviews,25208136,62,6.791
165,Electrochemical Energy Reviews,Electrochemical Energy Reviews, 25208489,62,6.791
166,Fungal Diversity,Fungal Diversity,15602745,123,6.787
166,Fungal Diversity,Fungal Diversity, 18789129,123,6.787
167,Clinical Microbiology Reviews,Clinical Microbiology Reviews,08938512,331,6.762
167,Clinical Microbiology Reviews,Clinical Microbiology Reviews, 10986618,331,6.762
168,Organizational Research Methods,Organizational Research Methods,15527425,138,6.712
168,Organizational Research Methods,Organizational Research Methods, 10944281,138,6.712
169,International Journal of Computer Vision,International Journal of Computer Vision,09205691,221,6.668
169,International Journal of Computer Vision,International Journal of Computer Vision, 15731405,221,6.668
170,Journal of the European Economic Association,Journal of the European Economic Association,15424774,119,6.658
170,Journal of the European Economic Association,Journal of the European Economic Association, 15424766,119,6.658
171,Journal of Accounting Research,Journal of Accounting Research,1475679X,169,6.625
171,Journal of Accounting Research,Journal of Accounting Research, 00218456,169,6.625
172,Science Robotics,Science Robotics,24709476,101,6.601
173,Journal of Monetary Economics,Journal of Monetary Economics,3043932,149,6.564
174,Chem,Chem,24519308,144,6.556
174,Chem,Chem, 24519294,144,6.556
175,American Economic Journal: Economic Policy,American Economic Journal: Economic Policy,19457731,88,6.519
175,American Economic Journal: Economic Policy,American Economic Journal: Economic Policy, 1945774X,88,6.519
176,Science Translational Medicine,Science Translational Medicine,19466234,284,6.510
176,Science Translational Medicine,Science Translational Medicine, 19466242,284,6.510
177,Nano-Micro Letters,Nano-Micro Letters,23116706,116,6.484
177,Nano-Micro Letters,Nano-Micro Letters, 21505551,116,6.484
178,Annual Review of Cell and Developmental Biology,Annual Review of Cell and Developmental Biology,15308995,240,6.456
178,Annual Review of Cell and Developmental Biology,Annual Review of Cell and Developmental Biology, 10810706,240,6.456
179,Journal of Applied Psychology,Journal of Applied Psychology,19391854,340,6.453
179,Journal of Applied Psychology,Journal of Applied Psychology, 00219010,340,6.453
180,Physics Reports,Physics Reports,3701573,318,6.435
181,Journal of the American Mathematical Society,Journal of the American Mathematical Society,10886834,110,6.428
181,Journal of the American Mathematical Society,Journal of the American Mathematical Society, 08940347,110,6.428
182,Neuro-Oncology,Neuro-Oncology,15228517,163,6.348
182,Neuro-Oncology,Neuro-Oncology, 15235866,163,6.348
183,Lancet Infectious Diseases. The,Lancet Infectious Diseases. The,14744457,291,6.329
183,Lancet Infectious Diseases. The,Lancet Infectious Diseases. The, 14733099,291,6.329
184,Review of Asset Pricing Studies,Review of Asset Pricing Studies,20459920,29,6.315
184,Review of Asset Pricing Studies,Review of Asset Pricing Studies, 20459939,29,6.315
185,ACM Computing Surveys,ACM Computing Surveys,03600300,213,6.280
185,ACM Computing Surveys,ACM Computing Surveys, 15577341,213,6.280
186,Advances in Methods and Practices in Psychological Science,Advances in Methods and Practices in Psychological Science,25152459,42,6.269
186,Advances in Methods and Practices in Psychological Science,Advances in Methods and Practices in Psychological Science, 25152467,42,6.269
187,JAMA Psychiatry,JAMA Psychiatry,21686238,408,6.241
187,JAMA Psychiatry,JAMA Psychiatry, 2168622X,408,6.241
188,Nature Reviews Neurology,Nature Reviews Neurology,17594766,207,6.237
188,Nature Reviews Neurology,Nature Reviews Neurology, 17594758,207,6.237
189,Intensive Care Medicine,Intensive Care Medicine,14321238,237,6.232
189,Intensive Care Medicine,Intensive Care Medicine, 03424642,237,6.232
190,JAMA Cardiology,JAMA Cardiology,23806583,113,6.231
190,JAMA Cardiology,JAMA Cardiology, 23806591,113,6.231
191,Lancet Global Health.The,Lancet Global Health.The,2214109X,136,6.221
192,Progress in Polymer Science,Progress in Polymer Science,796700,331,6.211
193,Advanced Powder Materials,Advanced Powder Materials,2772834X,28,6.197
194,JAMA Neurology,JAMA Neurology,21686157,272,6.194
194,JAMA Neurology,JAMA Neurology, 21686149,272,6.194
195,IEEE Transactions on Pattern Analysis and Machine Intelligence,IEEE Transactions on Pattern Analysis and Machine Intelligence,1628828,417,6.158
196,Philosophical Review. The,Philosophical Review. The,318108,65,6.146
197,Annals of the Rheumatic Diseases,Annals of the Rheumatic Diseases,00034967,288,6.138
197,Annals of the Rheumatic Diseases,Annals of the Rheumatic Diseases, 14682060,288,6.138
198,Progress in Energy and Combustion Science,Progress in Energy and Combustion Science,3601285,228,6.114
199,Nature Human Behaviour,Nature Human Behaviour,23973374,98,6.097
200,Proceedings of the IEEE,Proceedings of the IEEE,15582256,325,6.085
200,Proceedings of the IEEE,Proceedings of the IEEE, 00189219,325,6.085
201,Journal of Labor Economics,Journal of Labor Economics,0734306X,131,6.084
201,Journal of Labor Economics,Journal of Labor Economics, 15375307,131,6.084
202,Foundations and Trends in Signal Processing,Foundations and Trends in Signal Processing,19328346,20,6.069
202,Foundations and Trends in Signal Processing,Foundations and Trends in Signal Processing, 19328354,20,6.069
203,Pharmacological Reviews,Pharmacological Reviews,15210081,254,6.050
203,Pharmacological Reviews,Pharmacological Reviews, 00316997,254,6.050
204,Trends in Cell Biology,Trends in Cell Biology,09628924,263,6.002
204,Trends in Cell Biology,Trends in Cell Biology, 18793088,263,6.002
205,Journal of Marketing Research,Journal of Marketing Research,00222437,202,5.984
205,Journal of Marketing Research,Journal of Marketing Research, 15477193,202,5.984
206,Molecular Plant,Molecular Plant,16742052,162,5.967
206,Molecular Plant,Molecular Plant, 17529867,162,5.967
207,Materials Today,Materials Today,13697021,228,5.949
207,Materials Today,Materials Today, 18734103,228,5.949
208,Accounts of Chemical Research,Accounts of Chemical Research,00014842,453,5.948
208,Accounts of Chemical Research,Accounts of Chemical Research, 15204898,453,5.948
209,Nature Machine Intelligence,Nature Machine Intelligence,25225839,67,5.940
210,Nature Reviews Nephrology,Nature Reviews Nephrology,1759507X,161,5.939
210,Nature Reviews Nephrology,Nature Reviews Nephrology, 17595061,161,5.939
211,JAMA - Journal of the American Medical Association,JAMA - Journal of the American Medical Association,15383598,768,5.928
211,JAMA - Journal of the American Medical Association,JAMA - Journal of the American Medical Association, 00987484,768,5.928
212,IEEE Wireless Communications,IEEE Wireless Communications,15361284,188,5.926
213,Progress in Retinal and Eye Research,Progress in Retinal and Eye Research,13509462,189,5.923
213,Progress in Retinal and Eye Research,Progress in Retinal and Eye Research, 18731635,189,5.923
214,European Journal of Heart Failure,European Journal of Heart Failure,13889842,171,5.919
214,European Journal of Heart Failure,European Journal of Heart Failure, 18790844,171,5.919
215,Annual Review of Entomology,Annual Review of Entomology,00664170,230,5.909
215,Annual Review of Entomology,Annual Review of Entomology, 15454487,230,5.909
216,Physical Review X,Physical Review X,21603308,183,5.896
217,Nature Geoscience,Nature Geoscience,17520908,263,5.874
217,Nature Geoscience,Nature Geoscience, 17520894,263,5.874
218,Developmental Cell,Developmental Cell,15345807,295,5.828
218,Developmental Cell,Developmental Cell, 18781551,295,5.828
219,Annual Review of Political Science,Annual Review of Political Science,10942939,129,5.826
219,Annual Review of Political Science,Annual Review of Political Science, 15451577,129,5.826
220,Entrepreneurship Theory and Practice,Entrepreneurship Theory and Practice,10422587,198,5.819
220,Entrepreneurship Theory and Practice,Entrepreneurship Theory and Practice, 15406520,198,5.819
221,International Journal of Information Management,International Journal of Information Management,2684012,177,5.775
222,Review of Educational Research,Review of Educational Research,00346543,186,5.772
222,Review of Educational Research,Review of Educational Research, 19351046,186,5.772
223,JACC: Heart Failure,JACC: Heart Failure,22131787,106,5.724
223,JACC: Heart Failure,JACC: Heart Failure, 22131779,106,5.724
224,Nature Aging,Nature Aging,26628465,30,5.705
225,Diabetes Care,Diabetes Care,19355548,418,5.694
225,Diabetes Care,Diabetes Care, 01495992,418,5.694
226,InfoMat,InfoMat,25673165,69,5.672
227,Clinical Psychology Review,Clinical Psychology Review,18737811,255,5.653
